issue_type,weight_sum_JWO,share_JWO,total_weight_JWO,ci_low_JWO,ci_high_JWO,n_issue_rows_JWO,n_boot_JWO,candidate_JWO,source,window_type,weight_metric,filter_mode,grouping_JWO,source_scope,weight_sum_OSH,share_OSH,total_weight_OSH,ci_low_OSH,ci_high_OSH,n_issue_rows_OSH,n_boot_OSH,candidate_OSH,grouping_OSH,share_diff,share_diff_ci_low_conservative,share_diff_ci_high_conservative,candidate_a,candidate_b
administrative_performance,71.0,0.20461099763452212,346.99992092712824,0.055720624378857275,0.3677477781466306,61,300,JWO,naver_blog_cafe,calendar_week,doc_count_weighted,strict,candidate+source+window_type,source,44.77258872223978,0.14273859360309799,313.6684171537756,0.06920524252402478,0.24315765706965303,69,300,OSH,candidate+source+window_type,0.06187240403142413,-0.18743703269079576,0.29854253562260585,JWO,OSH
campaign_strategy,3.0,0.008645535111317836,346.99992092712824,0.0,0.03299712573188142,61,300,JWO,naver_blog_cafe,calendar_week,doc_count_weighted,strict,candidate+source+window_type,source,9.0,0.028692719788832807,313.6684171537756,0.0,0.07851503436306949,69,300,OSH,candidate+source+window_type,-0.02004718467751497,-0.07851503436306949,0.03299712573188142,JWO,OSH
candidate_positioning,25.23286795139986,0.07271721527769136,346.99992092712824,0.006354145251091089,0.19652057010118917,61,300,JWO,naver_blog_cafe,calendar_week,doc_count_weighted,strict,candidate+source+window_type,source,3.0,0.009564239929610936,313.6684171537756,0.0,0.03218492490196381,69,300,OSH,candidate+source+window_type,0.06315297534808043,-0.025830779650872722,0.19652057010118917,JWO,OSH
candidate_selection,15.846573590279974,0.04566736945628248,346.99992092712824,0.009186304752504338,0.1121657290208245,61,300,JWO,naver_blog_cafe,calendar_week,doc_count_weighted,strict,candidate+source+window_type,source,18.539720770839917,0.059106112560101454,313.6684171537756,0.013945135774887644,0.1266095066901768,69,300,OSH,candidate+source+window_type,-0.01343874310381897,-0.11742320193767244,0.09822059324593685,JWO,OSH
community_reaction,18.693147180559947,0.05387075343018768,346.99992092712824,0.011013773742296187,0.12116026478316531,61,300,JWO,naver_blog_cafe,calendar_week,doc_count_weighted,strict,candidate+source+window_type,source,8.846573590279974,0.02820358412413243,313.6684171537756,0.0,0.06451887275144245,69,300,OSH,candidate+source+window_type,0.025667169306055247,-0.05350509900914627,0.12116026478316531,JWO,OSH
controversy_attack_defense,57.791759469228055,0.1665468952120154,346.99992092712824,0.031663693917656915,0.3215238207928968,61,300,JWO,naver_blog_cafe,calendar_week,doc_count_weighted,strict,candidate+source+window_type,source,17.791759469228055,0.05672155211120814,313.6684171537756,0.00831961285113542,0.13837910166391798,69,300,OSH,candidate+source+window_type,0.10982534310080727,-0.10671540774626107,0.3132042079417614,JWO,OSH
debate_broadcast,8.0,0.023054760296847564,346.99992092712824,0.0,0.0530359564035491,61,300,JWO,naver_blog_cafe,calendar_week,doc_count_weighted,strict,candidate+source+window_type,source,35.69314718055995,0.11379260782593047,313.6684171537756,0.01002145825167418,0.2336352679195539,69,300,OSH,candidate+source+window_type,-0.0907378475290829,-0.2336352679195539,0.04301449815187492,JWO,OSH
policy_real_estate_tax,36.0,0.10374642133581403,346.99992092712824,0.006020458639281044,0.2642345614458586,61,300,JWO,naver_blog_cafe,calendar_week,doc_count_weighted,strict,candidate+source+window_type,source,66.484906649788,0.21195919963211934,313.6684171537756,0.07942362406035251,0.37167795709171303,69,300,OSH,candidate+source+window_type,-0.10821277829630531,-0.365657498452432,0.18481093738550608,JWO,OSH
policy_transport_infrastructure,53.326466224356714,0.15367861203506022,346.99992092712824,0.025172093609852977,0.30957664533170093,61,300,JWO,naver_blog_cafe,calendar_week,doc_count_weighted,strict,candidate+source+window_type,source,20.0,0.06376159953073957,313.6684171537756,0.01509509270081123,0.13984826011626683,69,300,OSH,candidate+source+window_type,0.08991701250432066,-0.11467616650641385,0.2944815526308897,JWO,OSH
race_polling,23.262532921023706,0.06703901504896584,346.99992092712824,0.02370788593948634,0.1382814787240052,61,300,JWO,naver_blog_cafe,calendar_week,doc_count_weighted,strict,candidate+source+window_type,source,38.846573590279974,0.12384598342024178,313.6684171537756,0.04098130464599338,0.2148831522976435,69,300,OSH,candidate+source+window_type,-0.05680696837127594,-0.19117526635815715,0.09730017407801182,JWO,OSH
administrative_notice,10.0,0.008689426001357288,1150.8240013135505,0.0008970639221054422,0.018475939414376585,686,300,JWO,naver_blog_cafe,daily,doc_count_weighted,strict,candidate+source+window_type,source,45.079441541679834,0.03467695067282036,1299.9828608636255,0.02020954656180938,0.0511456476933321,708,300,OSH,candidate+source+window_type,-0.02598752467146307,-0.05024858377122666,-0.0017336071474327933,JWO,OSH
