issue_type,weight_sum,share,total_weight,ci_low,ci_high,n_issue_rows,n_boot,candidate,source,window_type,weight_metric,filter_mode,grouping,source_scope
legal_election_rule,82.69314718055995,0.02247678052636318,3679.04767693792,0.012487696114265498,0.03447928972398469,1135,300,JWO,bigkinds_article,daily,doc_count_weighted,balanced,candidate+source+window_type,source
media_column_summary,22.0,0.005979808344943942,3679.04767693792,0.0008111959744778136,0.01590675573953322,1135,300,JWO,bigkinds_article,daily,doc_count_weighted,balanced,candidate+source+window_type,source
media_photo_event,489.7106068657218,0.13310798061560025,3679.04767693792,0.10540513208053422,0.16374340765382553,1135,300,JWO,bigkinds_article,daily,doc_count_weighted,balanced,candidate+source+window_type,source
policy_real_estate_tax,234.63833305950803,0.06377692100331737,3679.04767693792,0.05038830515088812,0.08042764059940079,1135,300,JWO,bigkinds_article,daily,doc_count_weighted,balanced,candidate+source+window_type,source
policy_transport_infrastructure,311.46573590279974,0.084659336668894,3679.04767693792,0.05508443885632597,0.11280706592866518,1135,300,JWO,bigkinds_article,daily,doc_count_weighted,balanced,candidate+source+window_type,source
policy_welfare_livelihood,50.846573590279974,0.013820580230316475,3679.04767693792,0.007347290426601445,0.021051506545451796,1135,300,JWO,bigkinds_article,daily,doc_count_weighted,balanced,candidate+source+window_type,source
race_polling,160.69314718055995,0.043677919203891705,3679.04767693792,0.02663997786074933,0.06029876650261051,1135,300,JWO,bigkinds_article,daily,doc_count_weighted,balanced,candidate+source+window_type,source
regional_visit,139.00545667363966,0.03778299953680791,3679.04767693792,0.023640078580817844,0.05279356179129247,1135,300,JWO,bigkinds_article,daily,doc_count_weighted,balanced,candidate+source+window_type,source
safety_accident,139.23286795139987,0.03784481207573904,3679.04767693792,0.0184281050574598,0.06270395403115292,1135,300,JWO,bigkinds_article,daily,doc_count_weighted,balanced,candidate+source+window_type,source
symbolic_event,53.69314718055995,0.014594305889846167,3679.04767693792,0.005836842848498583,0.028006289809491165,1135,300,JWO,bigkinds_article,daily,doc_count_weighted,balanced,candidate+source+window_type,source
administrative_notice,145.0,0.005135215265337107,28236.401495913007,0.0027866183013456193,0.008137317983552602,1456,300,JWO,bigkinds_article,rolling_14d,doc_count_weighted,balanced,candidate+source+window_type,source
administrative_performance,5147.766541568594,0.1823095815631355,28236.401495913007,0.157176868606271,0.20921956584192822,1456,300,JWO,bigkinds_article,rolling_14d,doc_count_weighted,balanced,candidate+source+window_type,source
campaign_strategy,2355.2875794662955,0.08341316367127039,28236.401495913007,0.06201171864584782,0.1092224232737465,1456,300,JWO,bigkinds_article,rolling_14d,doc_count_weighted,balanced,candidate+source+window_type,source
candidate_positioning,985.8967620068922,0.03491580760209805,28236.401495913007,0.026757575542145175,0.04424130248370424,1456,300,JWO,bigkinds_article,rolling_14d,doc_count_weighted,balanced,candidate+source+window_type,source
candidate_selection,3076.8999798879213,0.10896926721817855,28236.401495913007,0.08911258510454695,0.12976930053656222,1456,300,JWO,bigkinds_article,rolling_14d,doc_count_weighted,balanced,candidate+source+window_type,source
controversy_attack_defense,4781.429845144081,0.1693356657304988,28236.401495913007,0.14337780680057696,0.19304064017811404,1456,300,JWO,bigkinds_article,rolling_14d,doc_count_weighted,balanced,candidate+source+window_type,source
debate_broadcast,779.6931471805599,0.0276130493219334,28236.401495913007,0.017839398843824603,0.03692947263781109,1456,300,JWO,bigkinds_article,rolling_14d,doc_count_weighted,balanced,candidate+source+window_type,source
legal_election_rule,1059.0848982153195,0.03750778576967797,28236.401495913007,0.02670492350839827,0.04979488516804864,1456,300,JWO,bigkinds_article,rolling_14d,doc_count_weighted,balanced,candidate+source+window_type,source
media_column_summary,41.0,0.001452026385371182,28236.401495913007,0.0,0.003550426509353546,1456,300,JWO,bigkinds_article,rolling_14d,doc_count_weighted,balanced,candidate+source+window_type,source
media_photo_event,978.4400723006589,0.03465172686548887,28236.401495913007,0.025221875344584224,0.042923605911175486,1456,300,JWO,bigkinds_article,rolling_14d,doc_count_weighted,balanced,candidate+source+window_type,source
policy_real_estate_tax,4589.543075565218,0.16253994250044637,28236.401495913007,0.13472449561094474,0.1931832356241218,1456,300,JWO,bigkinds_article,rolling_14d,doc_count_weighted,balanced,candidate+source+window_type,source
policy_transport_infrastructure,2627.7835020695193,0.09306368244019586,28236.401495913007,0.06681267512793838,0.1214249664706751,1456,300,JWO,bigkinds_article,rolling_14d,doc_count_weighted,balanced,candidate+source+window_type,source
policy_welfare_livelihood,442.4109217817478,0.015668105648865463,28236.401495913007,0.00871858509228533,0.023542462173010602,1456,300,JWO,bigkinds_article,rolling_14d,doc_count_weighted,balanced,candidate+source+window_type,source
race_polling,594.4657359027997,0.021053169115364926,28236.401495913007,0.013678922586551234,0.03004773966352075,1456,300,JWO,bigkinds_article,rolling_14d,doc_count_weighted,balanced,candidate+source+window_type,source
regional_visit,188.15888308335968,0.00666369909460999,28236.401495913007,0.0022465118749468217,0.01197412326917676,1456,300,JWO,bigkinds_article,rolling_14d,doc_count_weighted,balanced,candidate+source+window_type,source
safety_accident,401.54055174004,0.014220670144464398,28236.401495913007,0.00692366399739341,0.022596801626362698,1456,300,JWO,bigkinds_article,rolling_14d,doc_count_weighted,balanced,candidate+source+window_type,source
symbolic_event,42.0,0.001487441663063162,28236.401495913007,0.0007458266108731977,0.0023276138671377783,1456,300,JWO,bigkinds_article,rolling_14d,doc_count_weighted,balanced,candidate+source+window_type,source
administrative_notice,190.69314718055995,0.01056628591156624,18047.32039020639,0.005006642986072448,0.017880137099147597,1435,300,JWO,bigkinds_article,rolling_7d,doc_count_weighted,balanced,candidate+source+window_type,source
administrative_performance,2342.340423830478,0.1297888203448518,18047.32039020639,0.11090199880461739,0.15184571069545116,1435,300,JWO,bigkinds_article,rolling_7d,doc_count_weighted,balanced,candidate+source+window_type,source
campaign_strategy,1062.0062876428397,0.058845649364054675,18047.32039020639,0.0413978456702098,0.07818808749995242,1435,300,JWO,bigkinds_article,rolling_7d,doc_count_weighted,balanced,candidate+source+window_type,source
candidate_positioning,367.27027587002,0.020350404820724737,18047.32039020639,0.014407579846573799,0.027105165165873465,1435,300,JWO,bigkinds_article,rolling_7d,doc_count_weighted,balanced,candidate+source+window_type,source
