candidate,window_type,filter_mode,weight_metric,distribution_unit,group_scope,source,issue_type,observed
JWO,rolling_14d,balanced,row_count,stable_issue,candidate_window_type,daum_blog_cafe,administrative_notice,2.0
JWO,rolling_14d,balanced,row_count,stable_issue,candidate_window_type,daum_blog_cafe,administrative_performance,54.0
JWO,rolling_14d,balanced,row_count,stable_issue,candidate_window_type,daum_blog_cafe,campaign_strategy,13.0
JWO,rolling_14d,balanced,row_count,stable_issue,candidate_window_type,daum_blog_cafe,candidate_positioning,12.0
JWO,rolling_14d,balanced,row_count,stable_issue,candidate_window_type,daum_blog_cafe,candidate_selection,39.0
JWO,rolling_14d,balanced,row_count,stable_issue,candidate_window_type,daum_blog_cafe,community_reaction,37.0
JWO,rolling_14d,balanced,row_count,stable_issue,candidate_window_type,daum_blog_cafe,controversy_attack_defense,38.0
JWO,rolling_14d,balanced,row_count,stable_issue,candidate_window_type,daum_blog_cafe,debate_broadcast,4.0
JWO,rolling_14d,balanced,row_count,stable_issue,candidate_window_type,daum_blog_cafe,legal_election_rule,5.0
JWO,rolling_14d,balanced,row_count,stable_issue,candidate_window_type,daum_blog_cafe,media_column_summary,48.0
JWO,rolling_14d,balanced,row_count,stable_issue,candidate_window_type,daum_blog_cafe,media_photo_event,0.0
JWO,rolling_14d,balanced,row_count,stable_issue,candidate_window_type,daum_blog_cafe,policy_real_estate_tax,11.0
JWO,rolling_14d,balanced,row_count,stable_issue,candidate_window_type,daum_blog_cafe,policy_transport_infrastructure,16.0
JWO,rolling_14d,balanced,row_count,stable_issue,candidate_window_type,daum_blog_cafe,policy_welfare_livelihood,12.0
JWO,rolling_14d,balanced,row_count,stable_issue,candidate_window_type,daum_blog_cafe,race_polling,23.0
JWO,rolling_14d,balanced,row_count,stable_issue,candidate_window_type,daum_blog_cafe,regional_visit,1.0
JWO,rolling_14d,balanced,row_count,stable_issue,candidate_window_type,daum_blog_cafe,safety_accident,6.0
JWO,rolling_14d,balanced,row_count,stable_issue,candidate_window_type,daum_blog_cafe,symbolic_event,7.0
JWO,rolling_14d,balanced,row_count,stable_issue,candidate_window_type,naver_article,administrative_notice,7.0
JWO,rolling_14d,balanced,row_count,stable_issue,candidate_window_type,naver_article,administrative_performance,277.0
JWO,rolling_14d,balanced,row_count,stable_issue,candidate_window_type,naver_article,campaign_strategy,65.0
JWO,rolling_14d,balanced,row_count,stable_issue,candidate_window_type,naver_article,candidate_positioning,61.0
JWO,rolling_14d,balanced,row_count,stable_issue,candidate_window_type,naver_article,candidate_selection,141.0
JWO,rolling_14d,balanced,row_count,stable_issue,candidate_window_type,naver_article,community_reaction,1.0
JWO,rolling_14d,balanced,row_count,stable_issue,candidate_window_type,naver_article,controversy_attack_defense,116.0
